[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 1.296 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.808 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.569 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.737 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 1.855 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 3.003 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.755 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 1.184 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 9.222 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.665 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.774 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 1.811 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 2.630 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 1.078 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.804 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.730 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 1.879 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 18.185 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.873 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.120 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 2.352 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.634 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.025 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 36: 26] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 3.075 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
